index,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,hour,hourly_demand,date,temperature_2m,precipitation,rain,snowfall,day_of_week,month,is_weekend,lag_demand_1,lag_demand_3,lag_demand_6,lag_demand_2,rolling_mean_3
41232,2023-09-01 06:59:00,2023-09-01 07:22:00,1.0,8.0,259,244,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41235,2023-09-01 07:05:00,2023-09-01 07:45:00,1.0,13.4,136,261,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,12.666666666666666
41234,2023-09-01 07:09:00,2023-09-01 07:34:00,1.0,3.9,242,147,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,14.0,14.0,14.0,11.333333333333334
41238,2023-09-01 07:20:00,2023-09-01 08:48:00,1.0,17.6,78,149,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,14.0,14.0,10.0,10.0
41242,2023-09-01 07:21:00,2023-09-01 08:16:00,1.0,16.2,18,97,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,14.0,10.0,10.0
41237,2023-09-01 07:29:00,2023-09-01 08:43:00,1.0,9.6,254,41,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,14.0,10.0,10.0
41241,2023-09-01 07:34:00,2023-09-01 08:23:00,1.0,13.2,183,100,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,14.0,10.0,10.0
41243,2023-09-01 07:42:00,2023-09-01 08:36:00,1.0,14.5,18,33,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,10.0,10.0,10.0
41239,2023-09-01 07:46:00,2023-09-01 08:06:00,1.0,2.0,250,242,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,10.0,10.0,10.0
41240,2023-09-01 07:51:00,2023-09-01 08:18:00,1.0,5.0,247,208,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,10.0,10.0,10.0
41236,2023-09-01 07:54:00,2023-09-01 08:15:00,1.0,2.0,168,166,7,10,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,10.0,10.0,10.0
46022,2023-09-01 08:01:00,2023-09-01 08:22:00,1.0,3.78,159,75,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,10.0,10.0,10.0,10.0,13.333333333333334
41249,2023-09-01 08:05:00,2023-09-01 08:28:00,1.0,5.7,259,136,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,10.0,10.0,10.0,16.666666666666668
41255,2023-09-01 08:08:00,2023-09-01 08:40:00,1.0,0.6,247,69,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,10.0,10.0,20.0,20.0
41261,2023-09-01 08:14:00,2023-09-01 09:01:00,1.0,7.4,18,75,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,10.0,20.0,20.0
41259,2023-09-01 08:16:00,2023-09-01 08:49:00,1.0,12.6,147,130,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,10.0,20.0,20.0
41260,2023-09-01 08:17:00,2023-09-01 08:57:00,1.0,12.0,94,196,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,10.0,20.0,20.0
41254,2023-09-01 08:19:00,2023-09-01 09:05:00,1.0,11.5,136,142,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41251,2023-09-01 08:22:00,2023-09-01 08:41:00,1.0,2.2,159,212,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41262,2023-09-01 08:25:00,2023-09-01 08:47:00,1.0,2.9,254,20,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41246,2023-09-01 08:27:00,2023-09-01 09:22:00,1.0,7.3,119,90,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41244,2023-09-01 08:32:00,2023-09-01 09:07:00,1.0,9.1,20,226,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41248,2023-09-01 08:40:00,2023-09-01 08:54:00,1.0,1.2,69,167,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41253,2023-09-01 08:42:00,2023-09-01 09:12:00,1.0,2.5,185,241,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41245,2023-09-01 08:44:00,2023-09-01 09:01:00,1.0,0.8,51,51,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41250,2023-09-01 08:50:00,2023-09-01 09:06:00,1.0,2.4,254,185,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41247,2023-09-01 08:52:00,2023-09-01 09:16:00,1.0,5.8,208,74,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41252,2023-09-01 08:55:00,2023-09-01 09:19:00,1.0,5.8,18,42,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41257,2023-09-01 08:58:00,2023-09-01 09:08:00,1.0,0.8,208,183,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41258,2023-09-01 08:59:00,2023-09-01 10:18:00,1.0,19.9,167,150,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41256,2023-09-01 08:59:00,2023-09-01 09:29:00,1.0,1.5,3,254,8,20,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,20.0
41270,2023-09-01 09:09:00,2023-09-01 09:24:00,1.0,0.8,212,182,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,20.0,20.0,20.0,20.0,19.666666666666668
41272,2023-09-01 09:09:00,2023-09-01 09:23:00,1.0,3.6,3,242,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,20.0,20.0,20.0,19.333333333333332
41276,2023-09-01 09:12:00,2023-09-01 09:23:00,1.0,1.7,47,169,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,20.0,20.0,19.0,19.0
41273,2023-09-01 09:17:00,2023-09-01 09:48:00,1.0,7.7,32,75,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,20.0,19.0,19.0
41275,2023-09-01 09:22:00,2023-09-01 09:51:00,1.0,4.1,136,119,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,20.0,19.0,19.0
41269,2023-09-01 09:28:00,2023-09-01 09:55:00,1.0,2.4,247,151,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,20.0,19.0,19.0
41264,2023-09-01 09:29:00,2023-09-01 10:05:00,1.0,9.1,136,237,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41267,2023-09-01 09:37:00,2023-09-01 10:08:00,1.0,7.6,69,82,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41278,2023-09-01 09:39:00,2023-09-01 11:05:00,1.0,7.3,254,194,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41281,2023-09-01 09:41:00,2023-09-01 10:24:00,1.0,12.5,254,79,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41265,2023-09-01 09:42:00,2023-09-01 10:23:00,1.0,12.6,247,102,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41274,2023-09-01 09:43:00,2023-09-01 10:49:00,1.0,4.1,212,244,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41279,2023-09-01 09:44:00,2023-09-01 10:27:00,1.0,7.2,167,170,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41266,2023-09-01 09:46:00,2023-09-01 10:07:00,1.0,3.1,69,151,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41280,2023-09-01 09:46:00,2023-09-01 10:19:00,1.0,10.64,182,138,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41271,2023-09-01 09:48:00,2023-09-01 10:08:00,1.0,1.5,159,47,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41263,2023-09-01 09:48:00,2023-09-01 09:57:00,1.0,1.3,136,94,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41277,2023-09-01 09:51:00,2023-09-01 10:10:00,1.0,4.8,254,242,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41268,2023-09-01 09:55:00,2023-09-01 10:02:00,1.0,1.0,220,240,9,19,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,19.0
41304,2023-09-01 10:00:00,2023-09-01 10:28:00,1.0,8.1,126,128,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,19.0,19.0,19.0,19.0,23.333333333333332
41299,2023-09-01 10:00:00,2023-09-01 10:23:00,1.0,0.7,119,69,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,19.0,19.0,19.0,27.666666666666668
41312,2023-09-01 10:01:00,2023-09-01 11:10:00,1.0,6.3,212,75,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,19.0,19.0,32.0,32.0
41290,2023-09-01 10:02:00,2023-09-01 10:43:00,1.0,0.0,32,265,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,19.0,32.0,32.0
41311,2023-09-01 10:02:00,2023-09-01 10:38:00,1.0,8.0,235,163,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,19.0,32.0,32.0
41295,2023-09-01 10:03:00,2023-09-01 10:26:00,1.0,0.9,168,159,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,19.0,32.0,32.0
41307,2023-09-01 10:05:00,2023-09-01 10:54:00,1.0,11.9,182,55,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41297,2023-09-01 10:19:00,2023-09-01 10:46:00,1.0,2.0,69,244,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41303,2023-09-01 10:20:00,2023-09-01 10:29:00,1.0,1.0,182,242,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41301,2023-09-01 10:23:00,2023-09-01 10:31:00,1.0,1.0,168,69,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41287,2023-09-01 10:25:00,2023-09-01 11:03:00,2.0,10.3,69,107,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41302,2023-09-01 10:27:00,2023-09-01 11:16:00,1.0,6.9,69,164,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41308,2023-09-01 10:29:00,2023-09-01 11:17:00,1.0,19.5,136,219,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41283,2023-09-01 10:30:00,2023-09-01 10:55:00,1.0,4.5,69,42,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41309,2023-09-01 10:31:00,2023-09-01 10:39:00,1.0,1.0,168,159,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41288,2023-09-01 10:31:00,2023-09-01 11:44:00,1.0,11.1,159,216,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41296,2023-09-01 10:34:00,2023-09-01 11:05:00,1.0,4.6,167,32,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41292,2023-09-01 10:35:00,2023-09-01 10:44:00,1.0,0.9,60,147,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41310,2023-09-01 10:35:00,2023-09-01 11:39:00,1.0,9.9,78,143,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41289,2023-09-01 10:37:00,2023-09-01 10:42:00,1.0,1.24,168,74,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41284,2023-09-01 10:40:00,2023-09-01 11:20:00,1.0,10.4,200,141,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41293,2023-09-01 10:42:00,2023-09-01 11:21:00,1.0,4.9,247,51,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41300,2023-09-01 10:43:00,2023-09-01 10:57:00,1.0,2.8,47,242,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41305,2023-09-01 10:44:00,2023-09-01 10:55:00,1.0,0.9,254,174,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41286,2023-09-01 10:44:00,2023-09-01 11:23:00,1.0,0.0,78,75,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41291,2023-09-01 10:46:00,2023-09-01 11:28:00,1.0,7.7,78,237,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41282,2023-09-01 10:48:00,2023-09-01 11:18:00,1.0,0.0,18,191,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41294,2023-09-01 10:51:00,2023-09-01 11:12:00,1.0,2.2,242,32,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41313,2023-09-01 10:51:00,2023-09-01 11:19:00,1.0,2.2,213,126,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41306,2023-09-01 10:55:00,2023-09-01 12:09:00,1.0,21.9,200,149,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41298,2023-09-01 10:59:00,2023-09-01 11:29:00,1.0,7.8,247,51,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41285,2023-09-01 10:59:00,2023-09-01 11:53:00,1.0,12.5,147,181,10,32,2023-09-01 10:00:00,13.7935,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,32.0
41316,2023-09-01 11:00:00,2023-09-01 11:43:00,1.0,10.1,250,100,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,32.0,32.0,32.0,32.0,29.666666666666668
41331,2023-09-01 11:00:00,2023-09-01 11:09:00,1.0,0.5,183,183,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,32.0,32.0,32.0,27.333333333333332
41326,2023-09-01 11:07:00,2023-09-01 11:31:00,1.0,0.6,182,212,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,32.0,32.0,25.0,25.0
41315,2023-09-01 11:08:00,2023-09-01 11:16:00,1.0,0.5,220,241,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,32.0,25.0,25.0
41334,2023-09-01 11:10:00,2023-09-01 11:20:00,1.0,1.1,220,200,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,32.0,25.0,25.0
41329,2023-09-01 11:15:00,2023-09-01 11:59:00,1.0,4.0,242,200,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,32.0,25.0,25.0
41330,2023-09-01 11:15:00,2023-09-01 11:44:00,1.0,3.6,242,241,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41320,2023-09-01 11:19:00,2023-09-01 12:28:00,1.0,3.7,69,20,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41317,2023-09-01 11:20:00,2023-09-01 11:20:00,1.0,0.0,248,248,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41332,2023-09-01 11:21:00,2023-09-01 11:32:00,1.0,1.8,242,182,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41323,2023-09-01 11:22:00,2023-09-01 11:55:00,1.0,4.1,174,119,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41321,2023-09-01 11:26:00,2023-09-01 11:57:00,1.0,1.6,51,242,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41335,2023-09-01 11:27:00,2023-09-01 11:58:00,1.0,0.0,60,137,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41319,2023-09-01 11:29:00,2023-09-01 12:03:00,1.0,14.7,185,215,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41338,2023-09-01 11:29:00,2023-09-01 12:18:00,1.0,5.2,167,241,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41336,2023-09-01 11:29:00,2023-09-01 12:06:00,1.0,6.23,126,18,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41325,2023-09-01 11:31:00,2023-09-01 12:16:00,1.0,15.4,51,232,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41324,2023-09-01 11:34:00,2023-09-01 12:00:00,1.0,2.1,185,18,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41327,2023-09-01 11:38:00,2023-09-01 12:17:00,1.0,2.7,212,185,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41337,2023-09-01 11:40:00,2023-09-01 11:56:00,1.0,0.0,60,185,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41322,2023-09-01 11:41:00,2023-09-01 11:58:00,1.0,1.5,242,182,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41318,2023-09-01 11:48:00,2023-09-01 12:15:00,1.0,4.0,242,254,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41314,2023-09-01 11:49:00,2023-09-01 11:50:00,1.0,0.23,247,119,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41328,2023-09-01 11:53:00,2023-09-01 12:26:00,1.0,3.0,250,81,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41333,2023-09-01 11:55:00,2023-09-01 12:20:00,1.0,3.9,51,185,11,25,2023-09-01 11:00:00,13.893499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,25.0
41344,2023-09-01 12:00:00,2023-09-01 12:08:00,1.0,1.12,200,220,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,25.0,25.0,25.0,25.0,27.666666666666668
41349,2023-09-01 12:02:00,2023-09-01 12:16:00,1.0,1.9,248,213,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,25.0,25.0,25.0,30.333333333333332
41364,2023-09-01 12:04:00,2023-09-01 12:35:00,1.0,0.0,185,140,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,25.0,25.0,33.0,33.0
41359,2023-09-01 12:04:00,2023-09-01 12:28:00,1.0,5.8,174,250,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,25.0,33.0,33.0
41357,2023-09-01 12:07:00,2023-09-01 12:31:00,1.0,3.6,241,242,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,25.0,33.0,33.0
41355,2023-09-01 12:09:00,2023-09-01 12:57:00,1.0,6.1,169,75,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,25.0,33.0,33.0
41365,2023-09-01 12:09:00,2023-09-01 12:39:00,1.0,9.1,169,51,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41353,2023-09-01 12:09:00,2023-09-01 12:59:00,1.0,5.2,241,168,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41347,2023-09-01 12:09:00,2023-09-01 12:28:00,1.0,1.5,47,94,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41366,2023-09-01 12:14:00,2023-09-01 12:47:00,1.0,6.2,242,42,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41351,2023-09-01 12:17:00,2023-09-01 12:43:00,1.0,5.0,18,159,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41339,2023-09-01 12:21:00,2023-09-01 12:39:00,1.0,0.0,220,244,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
46023,2023-09-01 12:25:00,2023-09-01 13:50:00,1.0,16.29,159,236,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41340,2023-09-01 12:30:00,2023-09-01 12:52:00,1.0,4.6,159,127,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
41367,2023-09-01 12:31:00,2023-09-01 13:59:00,1.0,8.5,136,7,12,33,2023-09-01 12:00:00,15.643499,0.0,0.0,0.0,4,9,0,33.0,33.0,33.0,33.0,33.0
